Name,Full name,Monomer SMILES,Repeat unit SMILES,Rescode,Parameterized
mP3H5TPxV,3-Hydroxy-5-thiophenoxyvalerate,O[C@@H](CCSC1=CC=CC=C1)CC(=O)O,[C@@H](CCSC1=CC=CC=C1)CC(=O)O,,
tP3H5TPxV,3-Hydroxy-5-thiophenoxyvalerate,O[C@@H](CCSC1=CC=CC=C1)CC(=O)O,[C@@H](CCSC1=CC=CC=C1)CC(=O)O,,
hP3H5pFTPxV,3-Hydroxy-5-(4-fluorothiophenoxy)valerate,O[C@@H](CSC1=CC=C(F)C=C1)CC(=O)O,[C@@H](CSC1=CC=C(F)C=C1)CC(=O)O,,
mP3H5pFTPxV,3-Hydroxy-5-(4-fluorothiophenoxy)valerate,O[C@@H](CSC1=CC=C(F)C=C1)CC(=O)O,[C@@H](CSC1=CC=C(F)C=C1)CC(=O)O,,
tP3H5pFTPxV,3-Hydroxy-5-(4-fluorothiophenoxy)valerate,O[C@@H](CSC1=CC=C(F)C=C1)CC(=O)O,[C@@H](CSC1=CC=C(F)C=C1)CC(=O)O,,
hP3H7TPxHp,3-Hydroxy-7-thiophenoxyheptanoate,O[C@H](CCCCSC1=CC=CC=C1)CC(=O)O,[C@H](CCCCSC1=CC=CC=C1)CC(=O)O,,
mP3H7TPxHp,3-Hydroxy-7-thiophenoxyheptanoate,O[C@H](CCCCSC1=CC=CC=C1)CC(=O)O,[C@H](CCCCSC1=CC=CC=C1)CC(=O)O,,
tP3H7TPxHp,3-Hydroxy-7-thiophenoxyheptanoate,O[C@H](CCCCSC1=CC=CC=C1)CC(=O)O,[C@H](CCCCSC1=CC=CC=C1)CC(=O)O,,
hP3H6TPxHx,3-Hydroxy-6-thiophenoxyhexanoate,O[C@H](CCCSC1=CC=CC=C1)CC(=O)O,[C@H](CCCSC1=CC=CC=C1)CC(=O)O,,
mP3H6TPxHx,3-Hydroxy-6-thiophenoxyhexanoate,O[C@H](CCCSC1=CC=CC=C1)CC(=O)O,[C@H](CCCSC1=CC=CC=C1)CC(=O)O,,
tP3H6TPxHx,3-Hydroxy-6-thiophenoxyhexanoate,O[C@H](CCCSC1=CC=CC=C1)CC(=O)O,[C@H](CCCSC1=CC=CC=C1)CC(=O)O,,
hP3MB,,O[C@H](S)CC(=O)O,[C@H](S)CC(=O)O,,
mP3MB,,O[C@H](S)CC(=O)O,[C@H](S)CC(=O)O,,
tP3MB,,O[C@H](S)CC(=O)O,[C@H](S)CC(=O)O,,
