PHA_type,component,readable_name,residue_code,smiles
3H8NE,trimer,P3H8NE_3,ACY,O[C@H](CCCCC=C)CC(=O)O[C@H](CCCCC=C)CC(=O)O[C@H](CCCCC=C)CC(=O)O
3H8NE,head,hP3H8NE,ACZ,O[C@H](CCCCC=C)CC(=O)O
3H8NE,mainchain,mP3H8NE,ADA,O[C@H](CCCCC=C)CC(=O)O
3H8NE,tail,tP3H8NE,ADB,O[C@H](CCCCC=C)CC(=O)O
3H9DE,trimer,P3H9DE_3,ADC,O[C@H](CCCCCC=C)CC(=O)O[C@H](CCCCCC=C)CC(=O)O[C@H](CCCCCC=C)CC(=O)O
3H9DE,head,hP3H9DE,ADD,O[C@H](CCCCCC=C)CC(=O)O
3H9DE,mainchain,mP3H9DE,ADE,O[C@H](CCCCCC=C)CC(=O)O
3H9DE,tail,tP3H9DE,ADF,O[C@H](CCCCCC=C)CC(=O)O
3H11DdE,trimer,P3H11DdE_3,ADG,O[C@H](CCCCCCCC=C)CC(=O)O[C@H](CCCCCCCC=C)CC(=O)O[C@H](CCCCCCCC=C)CC(=O)O
3H11DdE,head,hP3H11DdE,ADH,O[C@H](CCCCCCCC=C)CC(=O)O
3H11DdE,mainchain,mP3H11DdE,ADI,O[C@H](CCCCCCCC=C)CC(=O)O
3H11DdE,tail,tP3H11DdE,ADJ,O[C@H](CCCCCCCC=C)CC(=O)O
3H3PhP,trimer,P3H3PhP_3,ADK,O[C@@H](C1=CC=CC=C1)CC(=O)O[C@@H](C1=CC=CC=C1)CC(=O)O[C@@H](C1=CC=CC=C1)CC(=O)O
3H3PhP,head,hP3H3PhP,ADL,O[C@@H](C1=CC=CC=C1)CC(=O)O
3H3PhP,mainchain,mP3H3PhP,ADM,O[C@@H](C1=CC=CC=C1)CC(=O)O
3H3PhP,tail,tP3H3PhP,ADN,O[C@@H](C1=CC=CC=C1)CC(=O)O
3H4PhB,trimer,P3H4PhB_3,ADO,O[C@H](CC1=CC=CC=C1)CC(=O)O[C@H](CC1=CC=CC=C1)CC(=O)O[C@H](CC1=CC=CC=C1)CC(=O)O
3H4PhB,head,hP3H4PhB,ADP,O[C@H](CC1=CC=CC=C1)CC(=O)O
3H4PhB,mainchain,mP3H4PhB,ADQ,O[C@H](CC1=CC=CC=C1)CC(=O)O
3H4PhB,tail,tP3H4PhB,ADR,O[C@H](CC1=CC=CC=C1)CC(=O)O
3H5PhV,trimer,P3H5PhV_3,ADS,O[C@H](CCC1=CC=CC=C1)CC(=O)O[C@H](CCC1=CC=CC=C1)CC(=O)O[C@H](CCC1=CC=CC=C1)CC(=O)O
3H5PhV,head,hP3H5PhV,ADT,O[C@H](CCC1=CC=CC=C1)CC(=O)O
3H5PhV,mainchain,mP3H5PhV,ADU,O[C@H](CCC1=CC=CC=C1)CC(=O)O
3H5PhV,tail,tP3H5PhV,ADV,O[C@H](CCC1=CC=CC=C1)CC(=O)O
3H6PhHX,trimer,P3H6PhHX_3,ADW,O[C@H](CCCC1=CC=CC=C1)CC(=O)O[C@H](CCCC1=CC=CC=C1)CC(=O)O[C@H](CCCC1=CC=CC=C1)CC(=O)O
3H6PhHX,head,hP3H6PhHX,ADX,O[C@H](CCCC1=CC=CC=C1)CC(=O)O
